# (A) (ergs/cm**2/s/Angstrom)  (0= GOOD to 3= BAD) 
# WAVELENGTH FLUX    ERROR     DATA_QUALITY 
1155.196  3.875E-15  3.572E-14 0
1155.208  1.059E-13  5.280E-14 0
1155.220  1.758E-14  3.740E-14 0
1155.232 -3.414E-14  2.753E-14 0
1155.244  1.370E-14  2.356E-14 0
1155.256  1.707E-14  3.041E-14 0
1155.268 -2.392E-14  3.618E-14 0
1155.280 -2.340E-14  2.992E-14 0
1155.292 -1.291E-14  1.222E-14 0
1155.304  4.587E-15  3.774E-14 0
1155.316 -1.485E-14  4.026E-14 0
1155.328 -3.188E-14  3.361E-14 0
1155.340  1.350E-14  2.750E-14 0
1155.352  4.142E-14  3.716E-14 0
1155.364  4.633E-14  3.865E-14 0
1155.376 -6.086E-15  2.621E-14 0
1155.388 -4.605E-14  2.050E-14 0
1155.400 -2.062E-14  2.461E-14 0
1155.412 -1.278E-14  3.427E-14 0
1155.424 -5.574E-14  3.821E-14 0
1155.436 -6.124E-14  3.317E-14 0
1155.448 -4.104E-14  3.239E-14 0
1155.460 -3.807E-14  3.239E-14 0
1155.472 -2.135E-14  4.355E-14 0
1155.484 -3.501E-14  4.242E-14 0
1155.496  4.510E-15  3.422E-14 0
1155.508  2.311E-14  3.799E-14 0
1155.520 -9.646E-15  3.407E-14 0
1155.532  2.504E-15  2.800E-14 0
1155.544  2.466E-15  2.804E-14 0
1155.556 -4.193E-14  2.467E-14 0
1155.568 -4.802E-15  3.007E-14 0
1155.580  3.188E-14  4.030E-14 0
1155.592  4.421E-14  3.389E-14 0
1155.604  5.386E-15  2.666E-14 0
1155.616 -7.181E-15  2.353E-14 0
1155.628  4.467E-14  3.543E-14 0
1155.640  6.722E-14  4.579E-14 0
1155.652  4.020E-15  3.174E-14 0
1155.664 -7.433E-15  3.212E-14 0
1155.676  3.027E-14  4.978E-14 0
1155.688 -1.773E-14  2.299E-14 0
1155.700 -2.841E-15  9.188E-15 0
1155.712 -4.073E-14  4.088E-14 0
1155.724  3.481E-14  3.116E-14 0
1155.736  5.819E-15  1.994E-14 0
1155.748  6.591E-15  8.298E-15 0
1155.760  5.464E-14  2.855E-14 0
1155.772  4.471E-14  3.655E-14 0
1155.784  2.325E-15  3.600E-14 0
1155.796 -3.104E-14  3.926E-14 0
1155.808 -4.571E-14  3.822E-14 0
1155.820 -2.706E-15  3.275E-14 0
1155.832  2.832E-14  3.828E-14 0
1155.844 -3.163E-15  4.165E-14 0
1155.856 -3.377E-14  4.182E-14 0
1155.868 -3.437E-14  3.709E-14 0
1155.880  9.207E-15  3.597E-14 0
1155.892  2.213E-14  2.732E-14 0
1155.904  1.984E-14  2.327E-14 0
1155.916  2.448E-14  3.706E-14 0
1155.928  2.739E-15  3.757E-14 0
1155.940 -3.374E-15  4.011E-14 0
1155.952 -8.055E-16  4.537E-14 0
1155.964  6.954E-15  3.809E-14 0
1155.976 -2.700E-15  3.509E-14 0
1155.988 -2.603E-14  3.447E-14 0
1156.000 -4.433E-14  3.913E-14 0
1156.012 -1.274E-14  4.211E-14 0
1156.024  5.033E-14  5.065E-14 0
1156.036  5.975E-14  4.147E-14 0
1156.048 -3.250E-15  4.087E-14 0
1156.060 -3.559E-14  3.710E-14 0
1156.072 -3.278E-14  3.490E-14 0
1156.084  3.071E-14  3.494E-14 0
1156.096  3.804E-14  3.236E-14 0
1156.108  3.273E-14  3.373E-14 0
1156.120 -4.241E-14  4.558E-14 0
1156.132  6.881E-15  4.175E-14 0
1156.144 -9.962E-15  4.139E-14 0
1156.156 -6.488E-15  4.163E-14 0
1156.168 -2.972E-14  3.453E-14 0
1156.180 -1.401E-14  2.475E-14 0
1156.192  2.469E-14  3.025E-14 0
1156.204 -3.164E-14  4.321E-14 0
1156.216 -2.417E-14  3.909E-14 0
1156.228  9.965E-15  4.238E-14 0
1156.240  5.778E-15  2.994E-14 0
1156.252  1.967E-14  3.094E-14 0
1156.264  5.908E-14  5.004E-14 0
1156.276  5.564E-14  4.170E-14 0
1156.288 -2.270E-14  3.206E-14 0
1156.300 -1.014E-14  4.086E-14 0
1156.312 -3.049E-15  3.619E-14 0
1156.324 -5.237E-15  2.511E-14 0
1156.336 -1.479E-14  2.862E-14 0
1156.348 -6.317E-15  3.673E-14 0
1156.360  1.013E-14  3.700E-14 0
1156.372  1.378E-14  3.037E-14 0
1156.384  1.554E-14  3.565E-14 0
1156.396 -1.930E-14  3.369E-14 0
1156.408  4.326E-15  4.003E-14 0
1156.420  6.347E-14  5.085E-14 0
1156.432  4.256E-14  4.858E-14 0
1156.444 -5.407E-15  3.738E-14 0
1156.456 -2.141E-14  2.935E-14 0
1156.468 -1.376E-15  3.409E-14 0
1156.480  1.015E-14  4.392E-14 0
1156.492  3.024E-14  4.672E-14 0
1156.504 -2.876E-15  4.492E-14 0
1156.516  1.262E-15  4.324E-14 0
1156.528  2.374E-14  3.763E-14 0
1156.540  2.866E-14  3.491E-14 0
1156.552  4.899E-14  4.179E-14 0
1156.564  2.169E-14  3.606E-14 0
1156.576 -1.711E-14  3.085E-14 0
1156.588 -2.358E-14  3.782E-14 0
1156.600  1.683E-14  3.882E-14 0
1156.612  2.435E-14  3.632E-14 0
1156.624  1.773E-14  4.069E-14 0
1156.636  5.123E-14  4.324E-14 0
1156.648 -4.732E-14  3.151E-14 0
1156.660  1.164E-15  3.862E-14 0
1156.672  4.761E-14  3.201E-14 0
1156.684  6.544E-14  4.704E-14 0
1156.696 -2.287E-14  5.295E-14 0
1156.708  2.849E-14  3.745E-14 0
1156.720  4.022E-14  4.130E-14 0
1156.732  9.584E-17  2.627E-14 0
1156.744  4.281E-14  3.705E-14 0
1156.756  3.615E-14  3.384E-14 0
1156.768 -1.810E-14  3.046E-14 0
1156.780  3.981E-14  4.056E-14 0
1156.792 -3.355E-14  4.040E-14 0
1156.804  1.318E-14  4.320E-14 0
1156.816  3.144E-14  3.857E-14 0
1156.828  1.672E-14  4.217E-14 0
1156.840  1.954E-14  3.597E-14 0
1156.852  1.878E-14  3.771E-14 0
1156.864  1.378E-14  3.933E-14 0
1156.876 -1.131E-14  3.003E-14 0
1156.888  2.474E-14  3.240E-14 0
1156.900  3.566E-14  3.766E-14 0
1156.912  8.574E-15  3.680E-14 0
1156.924  1.349E-15  3.125E-14 0
1156.936 -8.401E-15  2.955E-14 0
1156.948 -1.974E-14  3.088E-14 0
1156.960 -1.514E-15  2.867E-14 0
1156.972  5.237E-17  2.690E-14 0
1156.984 -1.330E-14  3.076E-14 0
1156.996 -1.543E-14  3.630E-14 0
1157.008 -6.783E-15  3.438E-14 0
1157.020 -2.595E-14  3.406E-14 0
1157.032 -5.770E-14  3.838E-14 0
1157.044 -3.801E-14  2.213E-14 1
1157.056 -2.341E-14  1.916E-14 1
1157.068 -7.298E-15  3.252E-14 1
1157.080 -5.907E-14  4.082E-14 0
1157.092  7.150E-15  3.785E-14 0
1157.104  2.479E-14  3.798E-14 0
1157.116  1.649E-14  3.635E-14 0
1157.128  1.244E-14  2.787E-14 0
1157.140 -1.536E-14  3.723E-14 0
1157.152 -4.885E-14  2.176E-14 0
1157.164 -2.949E-14  2.265E-14 0
1157.176 -2.068E-14  2.531E-14 0
1157.188 -2.917E-14  2.029E-14 0
1157.200 -3.025E-14  3.180E-14 0
1157.212 -9.642E-15  4.221E-14 0
1157.224 -4.009E-15  3.960E-14 0
1157.236 -2.349E-14  2.115E-14 0
1157.248 -4.988E-15  3.000E-14 0
1157.260  2.328E-14  4.867E-14 0
1157.272  1.577E-14  3.327E-14 0
1157.284  3.587E-14  4.257E-14 0
1157.296  5.035E-14  4.515E-14 0
1157.308  6.230E-14  4.350E-14 0
1157.320 -2.735E-14  3.011E-14 0
1157.332 -2.750E-14  4.615E-14 0
1157.344 -7.899E-15  3.440E-14 0
1157.356  3.939E-15  3.902E-14 0
1157.368  1.623E-16  5.259E-14 0
1157.380  4.293E-14  4.887E-14 0
1157.392  5.634E-14  4.857E-14 0
1157.404  1.853E-14  4.673E-14 0
1157.416 -2.611E-15  4.321E-14 0
1157.428  4.914E-14  4.973E-14 0
1157.440  2.842E-14  4.333E-14 0
1157.452  4.513E-14  4.260E-14 0
1157.464  4.286E-14  3.308E-14 0
1157.476  3.908E-14  4.004E-14 0
1157.488  1.613E-14  3.959E-14 0
1157.500 -3.230E-14  3.116E-14 0
1157.512 -4.987E-14  3.782E-14 0
1157.524 -1.564E-14  3.879E-14 0
1157.536 -4.046E-15  4.066E-14 0
1157.548  1.648E-14  4.689E-14 0
1157.560  2.659E-14  4.542E-14 0
1157.572  1.871E-15  4.212E-14 0
1157.584  4.634E-15  3.599E-14 0
1157.596 -3.188E-14  3.706E-14 0
1157.608 -2.228E-14  3.846E-14 0
1157.620 -3.355E-14  3.942E-14 0
1157.632 -1.630E-15  4.090E-14 0
1157.644  5.020E-14  4.400E-14 0
1157.656  1.020E-14  4.379E-14 0
1157.668 -5.448E-15  3.467E-14 0
1157.680  1.037E-14  3.482E-14 0
