#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
42        	3         	ok              	7.9310000000e-02	7.1800000000e+02	1.4718648527e+18	8.0005488738e+17	2.3671213530e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	3         	ok              	6.6910000000e-02	7.0410000000e+02	1.2662548854e+18	6.8829238149e+17	2.3671214583e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	3         	ok              	5.6450000000e-02	6.9160000000e+02	1.0876105328e+18	5.9118749427e+17	2.3671214297e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	3         	ok              	4.7630000000e-02	6.8050000000e+02	9.3264607368e+17	5.0695420406e+17	2.3671212724e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	3         	ok              	4.0180000000e-02	6.7030000000e+02	7.9873935835e+17	4.3416717922e+17	2.3671210423e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	3         	ok              	3.3900000000e-02	6.6130000000e+02	6.8307043269e+17	3.7129359068e+17	2.3671207118e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	3         	ok              	2.8600000000e-02	6.5340000000e+02	5.8324515276e+17	3.1703205801e+17	2.3671202961e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	3         	ok              	2.4130000000e-02	6.4670000000e+02	4.9718567149e+17	2.7025313334e+17	2.3671197946e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	3         	ok              	2.0360000000e-02	6.4080000000e+02	4.2336925404e+17	2.3012910451e+17	2.3671192589e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	3         	ok              	1.7180000000e-02	6.3540000000e+02	3.6027978573e+17	1.9583586290e+17	2.3671187243e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	3         	ok              	1.4490000000e-02	6.3080000000e+02	3.0608394167e+17	1.6637688072e+17	2.3671181676e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	3         	ok              	1.2220000000e-02	6.2690000000e+02	2.5973870935e+17	1.4118521288e+17	2.3671176087e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	3         	ok              	1.0310000000e-02	6.2380000000e+02	2.2023023118e+17	1.1970976322e+17	2.3671170512e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	3         	ok              	8.7020000000e-03	6.2080000000e+02	1.8678023520e+17	1.0152748956e+17	2.3671165466e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	3         	ok              	7.3410000000e-03	6.1800000000e+02	1.5828151947e+17	8.6036557674e+16	2.3671160808e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	3         	ok              	6.1940000000e-03	6.1560000000e+02	1.3407134657e+17	7.2876728208e+16	2.3671156430e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	3         	ok              	5.2250000000e-03	6.1350000000e+02	1.1348410436e+17	6.1686198160e+16	2.3671152357e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	3         	ok              	4.4090000000e-03	6.1170000000e+02	9.6042809448e+16	5.2205696622e+16	2.3671148570e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	3         	ok              	3.7190000000e-03	6.1010000000e+02	8.1224739276e+16	4.4151090043e+16	2.3671145047e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	3         	ok              	3.1380000000e-03	6.0860000000e+02	6.8704329243e+16	3.7345413132e+16	2.3671141784e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	3         	ok              	2.6470000000e-03	6.0750000000e+02	5.8059155229e+16	3.1559051054e+16	2.3671138552e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	3         	ok              	2.2340000000e-03	6.0660000000e+02	4.9073129800e+16	2.6674546201e+16	2.3671135345e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	3         	ok              	1.8840000000e-03	6.0560000000e+02	4.1453191058e+16	2.2532600091e+16	2.3671132156e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	3         	ok              	1.5900000000e-03	6.0470000000e+02	3.5036444678e+16	1.9044669163e+16	2.3671128771e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	3         	ok              	1.3410000000e-03	6.0390000000e+02	2.9588745489e+16	1.6083480068e+16	2.3671124955e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	3         	ok              	1.1320000000e-03	6.0330000000e+02	2.5002061638e+16	1.3590310476e+16	2.3671120376e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	3         	ok              	9.5470000000e-04	6.0260000000e+02	2.1110592137e+16	1.1475036409e+16	2.3671114922e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	3         	ok              	8.0550000000e-04	6.0180000000e+02	1.7835112800e+16	9.6945942750e+15	2.3671108337e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	3         	ok              	6.7950000000e-04	6.0090000000e+02	1.5067791697e+16	8.1903702364e+15	2.3671100248e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
